model,pretrained,modality,run_name,seed,class_id,class_name,is_thin_class,iou,recall,precision,fpr,gt_pixels,pred_pixels,tp_pixels,fp_pixels,fn_pixels
deeplabv3,0,rgb,run_01_seed_42,42,140,Vehicles,0,0.5145033082672809,0.9190164351016177,0.5389376302474495,0.002985468,495829,845506,455675,389831,40154
deeplabv3,0,rgb,run_01_seed_42,42,160,Buildings,0,0.8488728977470137,0.9309162252314014,0.9059430491801698,0.015350944,17964884,18460103,16723802,1736301,1241082
deeplabv3,0,rgb,run_01_seed_42,42,180,Trees,0,0.8286194477164468,0.9017679061278584,0.9108348919384881,0.037983995,39431166,39038645,35557760,3480885,3873406
deeplabv3,0,rgb,run_01_seed_42,42,200,Large Mesh,0,0.13368384658488025,0.640852718,0.14451045841764076,0.000506507,17497,77593,11213,66380,6284
deeplabv3,0,rgb,run_01_seed_42,42,220,Small Mesh,0,0.3658374004126077,0.9117425510043745,0.3792685786705785,0.019227408572527187,1667406,4008360,1520245,2488115,147161
deeplabv3,0,rgb,run_01_seed_42,42,240,Thin Structures,1,0.18033573170027772,0.7208063269310816,0.19387819731566552,0.009644155,420425,1563069,303045,1260024,117380
deeplabv3,0,rgb,run_01_seed_42,42,255,Ultra-thin,1,0.067119124,0.3972291714844325,0.074730346,0.008940608,237835,1264212,94475,1169737,143360
deeplabv3,0,rgbd,run_01_seed_42,42,0,Background,0,0.8876695389195935,0.9047780236878028,0.9791424136384123,0.022355193463263014,70387533,65041706,63685093,1356613,6702440
deeplabv3,0,rgbd,run_01_seed_42,42,80,Other,0,0.36831159672460123,0.89868534,0.38426720443465984,0.004894479,443993,1038366,399010,639356,44983
deeplabv3,0,rgbd,run_01_seed_42,42,100,Animals,0,0.010641949879848954,0.017120766,0.027352941176470587,2.5231453378713634e-05,5432,3400,93,3307,5339
deeplabv3,0,rgbd,run_01_seed_42,42,140,Vehicles,0,0.5719668076084176,0.9466892819903636,0.5910024337823597,0.002487751,495829,794237,469396,324841,26433
deeplabv3,0,rgbd,run_01_seed_42,42,160,Buildings,0,0.8708124529183595,0.9370860952956891,0.9248853551860331,0.012087895513134647,17964884,18201870,16834643,1367227,1130241
deeplabv3,0,rgbd,run_01_seed_42,42,180,Trees,0,0.8342430651080108,0.9023074793172488,0.9170763442923661,0.035105736815970054,39431166,38796155,35579036,3217119,3852130
deeplabv3,0,rgbd,run_01_seed_42,42,200,Large Mesh,0,0.14926577833161048,0.6024461336229068,0.16557498075805413,0.000405343,17497,63663,10541,53122,6956
deeplabv3,0,rgbd,run_01_seed_42,42,220,Small Mesh,0,0.3790667574074594,0.9393465058899872,0.3885777003072853,0.019044996192329928,1667406,4030782,1566272,2464510,101134
deeplabv3,0,rgbd,run_01_seed_42,42,240,Thin Structures,1,0.1946412718245487,0.7884854611405125,0.2053640126824276,0.009817739,420425,1614202,331499,1282703,88926
deeplabv3,0,rgbd,run_01_seed_42,42,255,Ultra-thin,1,0.1040792833883308,0.6838985010616604,0.10933915202750166,0.010127049001306348,237835,1487619,162655,1324964,75180
deeplabv3,0,rgbe,run_01_seed_42,42,0,Background,0,0.8786908145672396,0.8978747841609962,0.9762615263862076,0.025323317085408362,70387533,64735923,63199191,1536732,7188342
deeplabv3,0,rgbe,run_01_seed_42,42,80,Other,0,0.3674989768318712,0.827172951,0.3980639769871008,0.004251416,443993,922613,367259,555354,76734
deeplabv3,0,rgbe,run_01_seed_42,42,100,Animals,0,0.001678858,0.00257732,0.004792879,2.217956908736635e-05,5432,2921,14,2907,5418
deeplabv3,0,rgbe,run_01_seed_42,42,140,Vehicles,0,0.5131783467726097,0.9222231858160778,0.5363931864757103,0.003026708,495829,852481,457265,395216,38564
deeplabv3,0,rgbe,run_01_seed_42,42,160,Buildings,0,0.8449490409601449,0.9325584289884644,0.8999405941476936,0.016468521750656252,17964884,18616011,16753304,1862707,1211580
deeplabv3,0,rgbe,run_01_seed_42,42,180,Trees,0,0.827603834,0.9029768990346367,0.908381088,0.039187203381409644,39431166,39196580,35605432,3591148,3825734
deeplabv3,0,rgbe,run_01_seed_42,42,200,Large Mesh,0,0.14665773773286253,0.5507229810824713,0.1665888698718946,0.000367839,17497,57843,9636,48207,7861
deeplabv3,0,rgbe,run_01_seed_42,42,220,Small Mesh,0,0.3539376480152699,0.9128034803761051,0.36632313157666724,0.020345691900242737,1667406,4154840,1522014,2632826,145392
deeplabv3,0,rgbe,run_01_seed_42,42,240,Thin Structures,1,0.18273526875398707,0.7126764583457216,0.1972683819656589,0.009332096,420425,1518880,299627,1219253,120798
deeplabv3,0,rgbe,run_01_seed_42,42,255,Ultra-thin,1,0.074430765,0.36459730485420566,0.085524525,0.007086788,237835,1013908,86714,927194,151121
deeplabv3,0,rgbde,run_01_seed_42,42,0,Background,0,0.8883462812285489,0.9057823066479684,0.978790467,0.022765826,70387533,65137314,63755782,1381532,6631751
deeplabv3,0,rgbde,run_01_seed_42,42,80,Other,0,0.39837918727732113,0.8831963566993173,0.4205355505484948,0.004136387,443993,932461,392133,540328,51860
deeplabv3,0,rgbde,run_01_seed_42,42,100,Animals,0,0.006319115,0.009572901,0.018252018252018252,2.134030090724585e-05,5432,2849,52,2797,5380
deeplabv3,0,rgbde,run_01_seed_42,42,140,Vehicles,0,0.5662781417732673,0.9487847624886806,0.5841337050120754,0.00256494,495829,805355,470435,334920,25394
deeplabv3,0,rgbde,run_01_seed_42,42,160,Buildings,0,0.8706136823438838,0.9330781094940552,0.9285969862910038,0.011395719788311108,17964884,18051577,16762640,1288937,1202244
deeplabv3,0,rgbde,run_01_seed_42,42,180,Trees,0,0.8350849267162783,0.9036659478951243,0.9166916275171709,0.035336529128488725,39431166,38870871,35632602,3238269,3798564
deeplabv3,0,rgbde,run_01_seed_42,42,200,Large Mesh,0,0.15905951506245408,0.6186203349145568,0.17635270541082165,0.00038574,17497,61377,10824,50553,6673
deeplabv3,0,rgbde,run_01_seed_42,42,220,Small Mesh,0,0.387706694,0.934978044,0.3984499436696321,0.018188256902224042,1667406,3912632,1558988,2353644,108418
deeplabv3,0,rgbde,run_01_seed_42,42,240,Thin Structures,1,0.18985064322711007,0.7953713504192187,0.19959983812067172,0.010263389476935123,420425,1675322,334394,1340928,86031
deeplabv3,0,rgbde,run_01_seed_42,42,255,Ultra-thin,1,0.098934904,0.704097378,0.1032268921652873,0.011119289827699058,237835,1622242,167459,1454783,70376
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,0,Background,0,0.881759622,0.9013043545651757,0.9759974850760234,0.025709742165157354,70387533,65000772,63440590,1560182,6946943
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,80,Other,0,0.3899616676900431,0.8425087782915497,0.4206234440323934,0.003944407,443993,889318,374068,515250,69925
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,100,Animals,0,0.011409080216419665,0.017857142857142856,0.030628354910009474,2.342321193609037e-05,5432,3167,97,3070,5335
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,140,Vehicles,0,0.5696221584759953,0.9235220206966515,0.5978220851687159,0.002359182,495829,765962,457909,308053,37920
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,160,Buildings,0,0.8473934465409731,0.928589074,0.9064648317404717,0.015218856787047775,17964884,18403356,16681995,1721361,1282889
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,180,Trees,0,0.8284302454997313,0.9008990248982239,0.9114940029499528,0.037639651,39431166,38972828,35523499,3449329,3907667
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,200,Large Mesh,0,0.15480072847401635,0.6266788592330114,0.17052611934495576,0.000406976,17497,64301,10965,53336,6532
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,220,Small Mesh,0,0.35433513391402804,0.9256407857474425,0.36471668285351727,0.020775236155835396,1667406,4231830,1543419,2688411,123987
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,240,Thin Structures,1,0.18723202273327383,0.7083665338645418,0.2028698714586413,0.008956608,420425,1468010,297815,1170195,122610
deeplabv3_pretrained,1,rgb,run_01_seed_42,42,255,Ultra-thin,1,0.075909681,0.4480290958017113,0.083741206,0.008911273,237835,1272456,106557,1165899,131278
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,0,Background,0,0.8892841140223712,0.9061793229775505,0.9794648564650332,0.022036429849503332,70387533,65120996,63783727,1337269,6603806
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,80,Other,0,0.38290872482574917,0.8952055550425344,0.4008776716184882,0.004547432,443993,991487,397465,594022,46528
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,100,Animals,0,0.006136606,0.008468336,0.021800947867298578,1.5747722943351962e-05,5432,2110,46,2064,5386
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,140,Vehicles,0,0.5798267502635576,0.9461931432005792,0.5995971586392346,0.002399305,495829,782442,469150,313292,26679
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,160,Buildings,0,0.870861398,0.9406054611875033,0.9215372373376124,0.012720163424554119,17964884,18336609,16897868,1438741,1067016
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,180,Trees,0,0.8341959423495208,0.9014440252667142,0.9179129640571823,0.034686655,39431166,38723703,35544989,3178714,3886177
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,200,Large Mesh,0,0.14916018126292976,0.6922901068754643,0.15975152985861996,0.000486141,17497,75824,12113,63711,5384
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,220,Small Mesh,0,0.39462258113590903,0.941187089,0.40459967773122785,0.017846422052064086,1667406,3878750,1569341,2309409,98065
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,240,Thin Structures,1,0.1954127592575913,0.7947053576737825,0.20580175241380372,0.009868698,420425,1623475,334114,1289361,86311
deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,255,Ultra-thin,1,0.10529813865007594,0.7107658670927324,0.11001207858368194,0.010452613810773356,237835,1536604,169045,1367559,68790
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,0,Background,0,0.8803413810274271,0.8981054642162271,0.9780257217398817,0.023405066736435207,70387533,64635752,63215428,1420324,7172105
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,80,Other,0,0.37652345604958637,0.8482723826726998,0.40371247356387385,0.00425852,443993,932909,376627,556282,67366
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,100,Animals,0,0.002088617,0.00257732,0.010894941634241245,9.69736233575598e-06,5432,1285,14,1271,5418
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,140,Vehicles,0,0.550059028,0.931250492,0.5733413132907267,0.002631491,495829,805351,461741,343610,34088
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,160,Buildings,0,0.8522759741115083,0.9328120905205957,0.9080164844450631,0.015008763904828058,17964884,18455459,16757861,1697598,1207023
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,180,Trees,0,0.8288531516367404,0.9058893160805845,0.9069482728073537,0.039991495,39431166,39385126,35720272,3664854,3710894
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,200,Large Mesh,0,0.14429827295966083,0.6613705206606847,0.15580988285983574,0.000478412,17497,74270,11572,62698,5925
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,220,Small Mesh,0,0.3775808998012994,0.9152485957229373,0.3912608410734778,0.018348289860559357,1667406,3900444,1526091,2374353,141315
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,240,Thin Structures,1,0.18538029135405568,0.7274614972944045,0.19921614453059863,0.009409676,420425,1535232,305843,1229389,114582
deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,255,Ultra-thin,1,0.076634418,0.4740639518994261,0.083755271,0.009427377,237835,1346172,112749,1233423,125086
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,0,Background,0,0.8901274660433266,0.9072414144703722,0.9792476310723227,0.022300583,70387533,65211784,63858485,1353299,6529048
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,80,Other,0,0.39987118146859146,0.8976988375942864,0.41896292558838677,0.004231543,443993,951330,398572,552758,45421
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,100,Animals,0,0.003983229,0.006995582,0.009165461,3.134285167213656e-05,5432,4146,38,4108,5394
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,140,Vehicles,0,0.5809695515786928,0.9495027519568239,0.5994924336190782,0.002408747,495829,785316,470791,314525,25038
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,160,Buildings,0,0.871337566,0.9306411886656212,0.9318510726966369,0.010810089084050203,17964884,17941559,16718861,1222698,1246023
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,180,Trees,0,0.8358808752613982,0.9050167575567002,0.916262072,0.035588502,39431166,38947226,35685866,3261360,3745300
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,200,Large Mesh,0,0.1480180382190996,0.6790878436303366,0.15915026989378372,0.000479014,17497,74659,11882,62777,5615
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,220,Small Mesh,0,0.3934242731515189,0.9407744724440238,0.4034159323078284,0.017926511944390475,1667406,3888426,1568653,2319773,98753
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,240,Thin Structures,1,0.20151938744859582,0.799467206,0.21224804243495832,0.009548174,420425,1583600,336116,1247484,84309
deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,255,Ultra-thin,1,0.10048433498710425,0.737809826,0.10420534052592885,0.011529687218930927,237835,1683954,175477,1508477,62358
deeplabv3plus,0,rgb,run_01_seed_42,42,0,Background,0,0.8762002830112819,0.892929249,0.9790656028034596,0.022145419848542132,70387533,64194970,62851087,1343883,7536446
deeplabv3plus,0,rgb,run_01_seed_42,42,80,Other,0,0.33763312667420736,0.8215579975359972,0.36435245995794774,0.004871612,443993,1001135,364766,636369,79227
