rank_by_mean_thin_iou,model,pretrained,modality,run_name,seed,thin_structures_iou,ultra_thin_iou,mean_thin_iou,thin_structures_recall,ultra_thin_recall,mean_thin_recall,thin_structures_precision,ultra_thin_precision,mean_thin_precision,thin_structures_f2,ultra_thin_f2,mean_thin_f2,thin_structures_fpr,ultra_thin_fpr,mean_thin_fpr,thin_gt_pixels,ultra_thin_gt_pixels
,deeplabv3plus,0,rgbde,run_01_seed_42,42,0.22048581112514123,0.10780444948988004,0.16414513030751063,0.7891181542486769,0.6516282296550129,0.7203731919518449,0.23429069800288127,0.11439765919565853,0.1743441785992699,0.5354952320075407,0.3360236036089262,0.43575941780823346,0.008298981,0.009170143,0.008734562,420425,237835
,deeplabv3plus_pretrained,1,rgbde,run_01_seed_42,42,0.2317229052065525,0.11333530901750717,0.17252910711202984,0.7998644229053934,0.6817835894632833,0.7408240061843383,0.24598507629726565,0.11966539856609928,0.18282523743168247,0.5515029419894067,0.3515284742136726,0.4515157081015397,0.007889717,0.009117596,0.008503656,420425,237835
,deeplabv3plus_pretrained,1,rgbd,run_01_seed_42,42,0.22724624761729287,0.1138540851234987,0.17055016637039577,0.7979425581257061,0.6641158786553704,0.7310292183905382,0.24112133008268455,0.12081072832921708,0.1809660292059508,0.545840693,0.34963920421688194,0.4477399486607889,0.008081319,0.008785679,0.008433499,420425,237835
,deeplabv3plus_pretrained,1,rgbe,run_01_seed_42,42,0.20699751962494548,0.076492286,0.14174490264539477,0.7225379080692157,0.42681270628797274,0.5746753071785942,0.22487245237876682,0.085249561,0.1550610066850538,0.5008510938580976,0.23694371527602653,0.36889740456706205,0.008014408,0.008325348,0.008169878,420425,237835
,deeplabv3plus_pretrained,1,rgb,run_01_seed_42,42,0.20399967243767786,0.070550158,0.13727491513660062,0.7110305048462865,0.43451552546933797,0.5727730151578122,0.22244173586927404,0.07768258,0.15006215772569545,0.49401271822231313,0.22646410689711835,0.3602384125597157,0.007997952,0.009378139,0.008688045,420425,237835
,segformer,0,rgbde,run_01_seed_42,42,0.2136054070548271,0.10375862376443624,0.15868201540963167,0.7675756674793364,0.6604957218239536,0.714035695,0.2283769151834684,0.10960419022926393,0.16899055270636615,0.521379756,0.32938518707045783,0.4253824715542999,0.008345418,0.009753951,0.009049684,420425,237835
,segformer,0,rgbd,run_01_seed_42,42,0.2092392457118469,0.10773512621490909,0.158487186,0.7742974371172028,0.6812958563710135,0.7277966467441082,0.22283006378913922,0.11345287115527478,0.16814146747220698,0.5179362230145298,0.34047428036126226,0.42920525168789603,0.008690083,0.009677801,0.009183942,420425,237835
,segformer,0,rgb,run_01_seed_42,42,0.17628742315017806,0.07053382,0.12341062139596368,0.6529702087173693,0.30019971829209324,0.4765849635047313,0.19451124378081253,0.084413258,0.13946225099960863,0.4437760300644348,0.19864174208648686,0.32120888607546083,0.008701258,0.005919073,0.007310165,420425,237835
,segformer,0,rgbe,run_01_seed_42,42,0.168849323,0.067996628,0.11842297544006031,0.6682690134982459,0.33946223221981625,0.503865623,0.1842965779218266,0.078365141,0.1313308594726512,0.43814872700622537,0.20371478718616512,0.32093175709619526,0.00951788,0.007257416,0.008387648,420425,237835
,segformer_pretrained,1,rgbd,run_01_seed_42,42,0.2305464702347886,0.11091015046494952,0.17072831034986907,0.773914491,0.6873883154287637,0.7306514033586704,0.2471950830383055,0.11680161408206584,0.18199834856018568,0.5426573403244463,0.3476893655987301,0.4451733529615882,0.007584195,0.009448572,0.008516383,420425,237835
,segformer_pretrained,1,rgbde,run_01_seed_42,42,0.21946461946342521,0.11331112392361765,0.16638787169352143,0.7867824225486115,0.662711544,0.7247469831329473,0.23334262143010825,0.12024568521257904,0.17679415332134366,0.53364405,0.3483807025521206,0.4410123763558833,0.008318323,0.008813959,0.008566141,420425,237835
,segformer_pretrained,1,rgbe,run_01_seed_42,42,0.185624477,0.0775868,0.13160563853541996,0.6749194267705299,0.42170832720163137,0.5483138769860806,0.20385023218924572,0.086824525,0.14533737871593627,0.46158693782121163,0.23806449438352645,0.349825716,0.008482217,0.008062665,0.008272441,420425,237835
,segformer_pretrained,1,rgb,run_01_seed_42,42,0.179119142,0.076282303,0.12770072245479538,0.7189344116073021,0.36408854878382074,0.5415114801955614,0.19260664932562374,0.088007903,0.1403072761915392,0.46486898500800217,0.22372411398316167,0.3442965494955819,0.009697885,0.00685853,0.008278208,420425,237835
