rank_by_tocs,model,pretrained,modality,run_name,seed,checkpoint_epoch,miou,biou,recall,precision,fpr,fps,latency_ms,tocs,eval_wall_time_s,best_val_tocs,normalization,class_weight_max
,deeplabv3,0,rgbe,run_01_seed_42,42,45,0.4191361290928749,0.5114637088289757,0.7026183793171209,0.453953816,0.012541176123187536,371.6494624499727,43.05132017284632,0.29958535540344144,1425.798937077634,0.3209577787969497,none,10
,deeplabv3,0,rgbde,run_01_seed_42,42,49,0.44005730908687546,0.5772725668609707,0.7637147492058826,0.47246297341532006,0.011617741816471756,369.8211435117295,43.264156959950924,0.34107745532493766,2005.6711914641783,0.35851031741064415,none,10
,deeplabv3_pretrained,1,rgb,run_01_seed_42,42,47,0.43008537866863455,0.5382558110937535,0.7223395670062469,0.4664884083517441,0.012394535584294774,341.71357774228323,46.822839483618736,0.3107271736961157,2049.5248159933835,0.32811615398662036,imagenet,10
,deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,50,0.4407707196278863,0.5831896361276582,0.7737044264511923,0.4721355874572182,0.011505960837189839,343.13469876592507,46.628918781876564,0.34801010452444536,1637.5484340703115,0.3661439316151896,imagenet,10
,deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,50,0.4274035489115452,0.5401177486931956,0.7297051630256124,0.46109813464454047,0.012296878910199186,343.65776286433373,46.557947263121605,0.31180121893339824,1628.8242844482884,0.3296171061928669,imagenet,10
,deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,49,0.44256159028102926,0.5860883849565042,0.7754235879999636,0.4734001180993067,0.011485419,343.3624248,46.59799338877201,0.3493780536006351,1631.2789366897196,0.36728325043188903,imagenet,10
,deeplabv3plus,0,rgb,run_01_seed_42,42,42,0.4079816173299567,0.47969727996635597,0.6910424590504942,0.4437450545258163,0.012478876688957224,1044.7582355791826,15.31454785913229,0.290546193,2342.5210877675563,0.30605115816561007,none,10
,deeplabv3plus,0,rgbd,run_01_seed_42,42,50,0.44031909764224986,0.5539335715727179,0.7488387345118556,0.4732842457779002,0.010696139345126256,1079.1284842955386,14.826779417693615,0.3512847526753041,1799.6127595333382,0.3699024738384821,none,10
,deeplabv3plus,0,rgbe,run_01_seed_42,42,49,0.4171295670833654,0.490322173,0.6893798694243405,0.45302546754372325,0.012233086486568292,1112.5361492103793,14.381555162370205,0.29225310528874276,1517.9077174821869,0.3093651614373673,none,10
,deeplabv3plus,0,rgbde,run_01_seed_42,42,50,0.4490093104168612,0.5599424539702309,0.7505261077543828,0.48357522258504976,0.010474470891758925,1088.6143110584553,14.697583742439747,0.35378525171579456,1643.1451482595876,0.3716789130458809,none,10
,deeplabv3plus_pretrained,1,rgbde,run_01_seed_42,42,50,0.4531581845667859,0.5744045227342387,0.7559220355651437,0.4840457497780658,0.010268889106744337,1111.146741780917,14.399538241326809,0.3651778847947828,1482.743548573926,0.38177378738226375,imagenet,10
,deeplabv3plus_pretrained,1,rgbd,run_01_seed_42,42,47,0.4510772651124535,0.5709565326453787,0.7549791797726912,0.48225823983766186,0.010344656367291767,1117.616940382759,14.316175267100334,0.36236187732849384,1739.2801137082279,0.3786417349372087,imagenet,10
,deeplabv3plus_pretrained,1,rgbe,run_01_seed_42,42,46,0.4314102351604988,0.5204279702915132,0.7148606546613222,0.46603563747840077,0.011581224557407784,1099.7963796639908,14.548147544264793,0.31525960520461194,1544.119514266029,0.33073095361044724,imagenet,10
,deeplabv3plus_pretrained,1,rgb,run_01_seed_42,42,39,0.4292092779974195,0.5165351944543309,0.7155507105535951,0.4636352483032762,0.011766707745989965,826.1362636297484,19.367265067994595,0.3098488186426178,1578.1347326319665,0.3274397784538281,imagenet,10
,segformer,0,rgbd,run_01_seed_42,42,47,0.4439142566760294,0.5555787612872246,0.7637302383356738,0.4751377048811161,0.010548705421264784,521.9949433747254,30.65163791924715,0.34814634189220933,1451.2664234666154,0.3654479412729728,none,10
,segformer,0,rgbde,run_01_seed_42,42,50,0.43963454926594847,0.5539406088509906,0.7578875898129263,0.47414469407556065,0.010682988,528.2214592574637,30.29032561928034,0.3463545511917724,1381.494631337002,0.36481906399018105,none,10
,segformer,0,rgb,run_01_seed_42,42,47,0.4076562210821358,0.4733082477069609,0.6878515978419258,0.44269384654246896,0.012375749025929604,517.7478896820475,30.903071396052837,0.2819567675108118,1541.8841420179233,0.30166638341191804,none,10
,segformer,0,rgbe,run_01_seed_42,42,49,0.4066743391275559,0.467139284,0.6784981451388492,0.4477182633251349,0.012366045967867893,520.1429688711788,30.76077339798212,0.2783894022523402,1496.409484114498,0.3015253899699652,none,10
,segformer_pretrained,1,rgbd,run_01_seed_42,42,42,0.44454705048277976,0.565729049,0.7612576703913415,0.4759486377942042,0.010529936760931353,524.9780196507685,30.477466486394405,0.3600073468357771,1371.0691884225234,0.3792219496407586,imagenet,10
,segformer_pretrained,1,rgbde,run_01_seed_42,42,46,0.452575808,0.5695421220935912,0.7615245062632481,0.48421837717505484,0.010304698,527.8227229792944,30.313208021223545,0.358545181,1379.4396235859022,0.3789142101562269,imagenet,10
,segformer_pretrained,1,rgbe,run_01_seed_42,42,47,0.4176240432341582,0.5009205204116919,0.7192465405282674,0.45133543861467257,0.012072026750003375,525.1963035423956,30.46479933708906,0.30022306565965867,1391.5206182328984,0.318148536,imagenet,10
,segformer_pretrained,1,rgb,run_01_seed_42,42,45,0.42373476632307006,0.5023612376765533,0.7077318149580719,0.45975660045607586,0.011878877847721153,520.2369329119614,30.75521745532751,0.2978453056850476,1386.3826547972858,0.31706586755953015,imagenet,10
